Route,LatestPeriod,LatestSpeed,FirstPeriod,FirstSpeed,Change,PctChange
1,2026-01-31,6.805596,2025-04-01,6.771498,0.034098000000000184,0.5035517990258608
100,2026-01-31,7.713763,2025-04-01,7.415696,0.2980670000000005,4.019406944405495
101,2026-01-31,9.084077,2025-04-01,9.274982,-0.190904999999999,-2.0582789271181228
102,2026-01-31,9.549448,2025-04-01,9.909216,-0.35976800000000075,-3.630640405860572
103,2026-01-31,11.324371,2025-04-01,11.690299,-0.36592800000000025,-3.130185121868998
104,2026-01-31,8.315786,2025-04-01,8.577078,-0.26129200000000097,-3.0463987852273346
105,2026-01-31,9.177909,2025-04-01,9.098501,0.07940799999999903,0.8727591501061442
106,2026-01-31,7.6403,2025-04-01,7.563959,0.07634100000000021,1.0092730539655255
107,2026-01-31,12.250394,2025-04-01,12.703456,-0.4530619999999992,-3.5664467999889102
108,2026-01-31,10.698566,2025-04-01,10.014551,0.6840149999999987,6.83021135945085
108D,2026-01-31,14.391396,2025-04-01,13.312199,1.0791970000000006,8.1068274294878
109,2026-01-31,7.26903,2025-04-01,7.734875,-0.46584499999999984,-6.022657121155802
11,2026-01-31,6.254376,2025-04-01,6.394119,-0.13974300000000017,-2.1854926378442467
110,2026-01-31,8.951367,2025-04-01,8.571369,0.3799979999999987,4.433340811718627
110R,2026-01-31,8.756158,2025-04-26,9.239248,-0.4830900000000007,-5.228672290212371
111,2026-01-31,9.947365,2025-04-01,10.43083,-0.4834650000000007,-4.634961934956285
112,2026-01-31,11.017931,2025-04-01,11.249316,-0.2313849999999995,-2.056880613896876
113,2026-01-31,10.272842,2025-04-01,10.421008,-0.1481659999999998,-1.4218010388246491
114,2026-01-31,11.05985,2025-04-01,11.272961,-0.2131109999999996,-1.8904616098645208
115,2026-01-31,8.023083,2025-04-01,8.204839,-0.18175600000000003,-2.215229329911288
116,2026-01-31,11.387767,2025-04-01,11.392385,-0.004618000000000677,-0.040535849165918084
117,2026-01-31,9.171517,2025-04-01,8.865668,0.30584900000000026,3.44981336995701
119,2026-01-31,10.504776,2025-04-01,10.99204,-0.4872639999999997,-4.4328805208132405
12,2026-01-31,7.29079,2025-04-01,7.110896,0.179894,2.5298359025360515
120,2026-01-31,8.96164,2025-04-01,8.906355,0.055284999999999584,0.6207365414919974
121,2026-01-31,8.673457,2025-04-01,9.102804,-0.4293469999999999,-4.7166455522935555
122,2026-01-31,9.379741,2025-04-01,9.641997,-0.2622560000000007,-2.7199344700065837
123,2026-01-31,9.278438,2025-04-01,9.011017,0.2674209999999988,2.96771163565665
124,2026-01-31,9.718963,2025-04-01,9.817459,-0.09849599999999903,-1.0032738613932488
125,2026-01-31,9.740028,2025-04-01,10.147123,-0.407095,-4.011925350663434
126,2026-01-31,9.886637,2025-04-01,10.28573,-0.3990929999999988,-3.880064905456383
127,2026-01-31,9.611352,2025-04-01,10.006749,-0.3953969999999991,-3.951303265426155
128,2026-01-31,10.139261,2025-04-01,10.40965,-0.27038899999999977,-2.5974840652663613
129,2026-01-31,10.826257,2025-04-01,10.132043,0.6942140000000006,6.851668513447887
13,2026-01-31,7.777223,2025-04-01,8.123241,-0.34601799999999994,-4.259605248693224
130,2026-01-31,10.983488,2025-04-01,11.22814,-0.2446520000000003,-2.17891832485167
131,2026-01-31,7.953182,2025-04-01,8.773018,-0.8198360000000005,-9.344971137640439
132,2026-01-31,11.833929,2025-04-01,12.212038,-0.37810900000000025,-3.096199012810149
133,2026-01-31,7.290325,2025-04-01,7.532551,-0.2422259999999996,-3.215723331976108
134,2026-01-31,8.33157,2025-04-01,8.268398,0.06317199999999978,0.7640174069995154
135,2026-01-31,8.839429,2025-04-01,8.770496,0.06893300000000124,0.7859646706412186
136,2026-01-31,8.568489,2025-04-01,8.733002,-0.16451300000000124,-1.883808110887885
137,2026-01-31,7.53506,2025-04-01,7.813005,-0.2779450000000008,-3.5574660453948352
138,2026-01-31,11.220531,2025-04-01,11.751404,-0.5308730000000015,-4.517528288534727
139,2026-01-31,6.894359,2025-04-01,7.059293,-0.16493400000000058,-2.3364096092909103
14,2026-01-31,5.775041,2025-04-01,5.729384,0.04565700000000028,0.796891952084208
140,2026-01-31,9.070209,2025-04-01,9.651841,-0.581631999999999,-6.0261249641389565
141,2026-01-31,7.537232,2025-04-01,7.494082,0.04315000000000069,0.5757876681893885
142,2026-01-31,9.349616,2025-04-01,9.934613,-0.5849970000000013,-5.888472958131347
143,2026-01-31,10.653284,2025-04-01,10.580571,0.07271299999999847,0.687231341295271
144,2026-01-31,8.407605,2025-04-01,8.11457,0.2930349999999997,3.6112203111193777
145,2026-01-31,9.788111,2025-04-01,9.988465,-0.20035399999999903,-2.0058537523032722
146,2026-01-31,15.091949,2025-04-01,16.163284,-1.0713350000000013,-6.628201298696486
147,2026-01-31,7.698666,2025-04-01,7.876902,-0.17823600000000006,-2.262767773421582
148,2026-01-31,7.508765,2025-04-01,7.320502,0.18826300000000007,2.5717225403394472
149,2026-01-31,7.09755,2025-04-01,7.107081,-0.009530999999999956,-0.13410568980429458
15,2026-01-31,6.821421,2025-04-01,6.888339,-0.06691800000000026,-0.9714678676528588
150,2026-01-31,9.870875,2025-04-01,10.008625,-0.13775000000000048,-1.3763129300977954
151,2026-01-31,10.381236,2025-04-01,10.414535,-0.0332990000000013,-0.3197358307404152
152,2026-01-31,8.162186,2025-04-01,8.672157,-0.5099710000000002,-5.880555437361203
153,2026-01-31,7.13533,2025-04-01,7.122109,0.013220999999999705,0.18563321622850346
154,2026-01-31,10.916083,2025-04-01,11.066374,-0.1502909999999993,-1.3580871204967344
155,2026-01-31,7.792947,2025-04-01,7.305829,0.4871179999999997,6.667525341751082
156,2026-01-31,8.685969,2025-04-01,9.058752,-0.3727830000000001,-4.11516950679299
157,2026-01-31,9.619355,2025-04-01,9.826563,-0.20720799999999961,-2.108651824651199
158,2026-01-31,8.614212,2025-04-01,8.860081,-0.245868999999999,-2.7750197769072207
159,2026-01-31,7.105597,2025-04-01,7.326413,-0.22081599999999924,-3.013971502835006
16,2026-01-31,8.256236,2025-04-01,8.327626,-0.07139000000000095,-0.8572671251086559
160,2026-01-31,9.701732,2025-04-01,9.807961,-0.1062290000000008,-1.0830895432802068
161,2026-01-31,9.887906,2025-04-01,10.785505,-0.8975990000000014,-8.322271418909
162,2026-01-31,11.310571,2025-04-01,12.233928,-0.9233570000000011,-7.547510497037428
163,2026-01-31,9.801286,2025-04-01,9.894305,-0.09301899999999996,-0.9401266688261578
164,2026-01-31,9.451506,2025-04-01,9.744392,-0.2928859999999993,-3.005687784317373
165,2026-01-31,11.156659,2025-04-01,11.680576,-0.5239170000000009,-4.485369557117738
166,2026-01-31,11.890316,2025-04-01,12.296779,-0.40646300000000046,-3.3054428318179943
167,2026-01-31,11.134474,2025-04-01,11.511311,-0.3768369999999983,-3.2736236558980845
169,2026-01-31,8.430949,2025-04-01,8.60381,-0.17286099999999927,-2.0091215403408405
17,2026-01-31,7.207178,2025-04-01,7.049846,0.15733200000000025,2.231708323841404
170,2026-01-31,8.461761,2025-04-01,9.047944,-0.5861830000000001,-6.478632051657263
171,2026-01-31,8.443236,2025-04-01,8.800185,-0.3569490000000002,-4.05615336495767
172,2026-01-31,8.20532,2025-04-01,8.671617,-0.4662969999999991,-5.377278539861702
173,2026-01-31,10.231598,2025-04-01,10.805415,-0.573817,-5.310457765851659
174,2026-01-31,9.884897,2025-04-01,10.789082,-0.904185,-8.380555454115559
175,2026-01-31,10.189991,2025-04-01,10.689337,-0.49934600000000096,-4.6714403334837415
176,2026-01-31,7.828277,2025-04-01,7.899916,-0.07163900000000023,-0.9068324270789744
177,2026-01-31,9.082906,2025-04-01,9.812127,-0.7292210000000008,-7.431834096725417
178,2026-01-31,9.459561,2025-04-01,10.118043,-0.6584819999999993,-6.507997643417797
179,2026-01-31,10.742789,2025-04-01,10.879391,-0.1366019999999999,-1.2556033697106748
18,2026-01-31,7.631672,2025-04-01,7.663449,-0.031776999999999944,-0.4146566382838842
180,2026-01-31,10.089198,2025-04-01,10.953725,-0.8645270000000007,-7.8925388395272
181,2026-01-31,8.970134,2025-04-01,9.120586,-0.15045199999999959,-1.6495869892570454
182,2026-01-31,9.321666,2025-04-01,9.361848,-0.04018199999999972,-0.4292101303076029
183,2026-01-31,9.616152,2025-04-01,9.848198,-0.23204600000000042,-2.356228012474977
184,2026-01-31,10.244381,2025-04-01,9.795689,0.4486920000000012,4.580504750610205
185,2026-01-31,7.79175,2025-04-01,7.759697,0.03205300000000033,0.4130702526142494
186,2026-01-31,9.83142,2025-04-01,9.700797,0.13062299999999993,1.346518229378472
187,2026-01-31,7.81382,2025-04-01,8.466178,-0.6523579999999995,-7.705460480514343
188,2026-01-31,7.672153,2025-04-01,7.719534,-0.04738100000000056,-0.6137805727651509
189,2026-01-31,7.977458,2025-04-01,8.492454,-0.514996,-6.064160017822881
19,2026-01-31,6.768625,2025-04-01,6.583422,0.18520300000000045,2.8131722377815134
190,2026-01-31,8.75826,2025-04-01,9.046798,-0.28853800000000085,-3.189393639605978
191,2026-01-31,9.082492,2025-04-01,9.795063,-0.7125710000000005,-7.274797517892437
192,2026-01-31,10.48469,2025-04-01,10.817296,-0.3326060000000002,-3.0747610123639046
193,2026-01-31,11.74954,2025-04-01,12.162302,-0.41276200000000074,-3.393781867939151
194,2026-01-31,10.518805,2025-04-01,10.941746,-0.4229409999999998,-3.8653885769236442
195,2026-01-31,7.847829,2025-04-01,8.051318,-0.20348900000000025,-2.527399861736926
196,2026-01-31,8.008149,2025-04-01,7.833534,0.1746149999999993,2.2290705574265623
197,2026-01-31,9.733287,2025-04-01,9.761249,-0.02796199999999871,-0.2864592430743106
198,2026-01-31,8.420108,2025-04-01,8.771262,-0.3511539999999993,-4.003460391446514
199,2026-01-31,8.162528,2025-04-01,8.090682,0.07184600000000074,0.888009193786145
2,2026-01-31,7.693909,2025-04-01,7.734902,-0.04099300000000028,-0.5299743939871543
20,2026-01-31,10.733707,2025-04-01,10.879546,-0.14583899999999872,-1.3404879210952252
200,2026-01-31,9.548746,2025-04-01,9.749011,-0.20026499999999992,-2.054208370469578
201,2026-01-31,7.688757,2025-04-01,8.86694,-1.1781829999999998,-13.287368584878209
202,2026-01-31,9.518371,2025-04-01,9.40731,0.11106099999999941,1.18058190917488
203,2026-01-31,10.811278,2025-04-01,10.848539,-0.03726100000000088,-0.3434656039859457
204,2026-01-31,9.066745,2025-04-01,9.699711,-0.6329660000000015,-6.525617103437427
205,2026-01-31,6.50798,2025-04-01,6.886004,-0.3780239999999999,-5.489744124458829
206,2026-01-31,8.574215,2025-04-01,8.852693,-0.2784779999999998,-3.145686854836147
207,2026-01-31,7.195751,2025-04-01,7.612249,-0.4164980000000007,-5.471418499316045
208,2026-01-31,10.009768,2025-04-01,10.371646,-0.3618780000000008,-3.489108671854022
209,2026-01-31,13.222627,2025-04-01,13.494523,-0.2718959999999999,-2.014861881372168
21,2026-01-31,7.489905,2025-04-01,7.555368,-0.06546299999999938,-0.8664435670108905
210,2026-01-31,10.504642,2025-04-01,10.721527,-0.21688499999999955,-2.0228928211438495
211,2026-01-31,6.42172,2025-04-01,7.421615,-0.9998950000000004,-13.472741445089786
212,2026-01-31,8.893448,2025-04-01,8.954491,-0.06104300000000151,-0.6817026227398241
213,2026-01-31,9.987607,2025-04-01,10.383821,-0.39621399999999873,-3.815685959917826
214,2026-01-31,6.917938,2025-04-01,7.170628,-0.2526899999999994,-3.523959128823855
215,2026-01-31,10.078179,2025-04-01,10.669942,-0.5917630000000003,-5.546075133304382
216,2026-01-31,11.483952,2025-04-01,11.654352,-0.170399999999999,-1.4621147533556478
217,2026-01-31,10.669665,2025-04-01,11.101657,-0.43199199999999927,-3.891238938475574
218,2026-01-31,8.528318,2025-04-01,8.833265,-0.3049470000000003,-3.452256894817491
219,2026-01-31,7.218939,2025-04-01,6.995567,0.22337199999999946,3.193050684812245
22,2026-01-31,6.337174,2025-04-01,6.514796,-0.1776219999999995,-2.7264399376434736
220,2026-01-31,6.813199,2025-04-01,7.64312,-0.8299209999999997,-10.858405991270576
221,2026-01-31,9.804163,2025-04-01,9.828909,-0.024745999999998602,-0.25176751560115784
222,2026-01-31,11.108943,2025-04-01,10.728478,0.38046499999999916,3.546309178245033
223,2026-01-31,9.619337,2025-04-01,9.103346,0.5159909999999996,5.668146635314089
224,2026-01-31,8.489788,2025-04-01,9.040746,-0.5509579999999996,-6.094165238134106
225,2026-01-31,8.009592,2025-04-01,8.206078,-0.19648600000000016,-2.394395958702807
226,2026-01-31,8.659515,2025-04-01,9.113926,-0.45441099999999857,-4.985897405794151
227,2026-01-31,9.930067,2025-04-01,9.537443,0.39262399999999964,4.116658940976105
228,2026-01-31,8.479834,2025-04-01,8.919026,-0.43919200000000025,-4.924214818972388
229,2026-01-31,11.68481,2025-04-01,11.723458,-0.03864800000000024,-0.3296638244449738
23,2026-01-31,7.038394,2025-04-01,7.149586,-0.11119199999999996,-1.5552229178025128
230,2026-01-31,7.845542,2025-04-01,7.929806,-0.08426400000000012,-1.0626237262298739
231,2026-01-31,10.943409,2025-04-01,11.188203,-0.24479399999999885,-2.18796530595663
232,2026-01-31,10.882494,2025-04-01,10.877489,0.005004999999998816,0.04601245747064249
233,2026-01-31,11.828489,2025-04-01,12.424174,-0.5956850000000014,-4.794564210063392
234,2026-01-31,10.41645,2025-04-01,11.175279,-0.7588290000000004,-6.7902465790787
235,2026-01-31,9.358186,2025-04-01,9.274193,0.08399299999999954,0.9056637057261967
236,2026-01-31,8.269969,2025-04-01,7.27287,0.9970989999999995,13.70984219434693
237,2026-01-31,8.644295,2025-04-01,8.789404,-0.1451089999999997,-1.6509538075619203
238,2026-01-31,7.703211,2025-04-01,7.889373,-0.18616200000000038,-2.3596551969339057
24,2026-01-31,6.970899,2025-04-01,6.754688,0.21621100000000038,3.200902839627832
240,2026-01-31,10.655912,2025-04-01,10.754677,-0.09876499999999844,-0.9183446420566461
241,2026-01-31,10.941322,2025-04-01,9.686789,1.2545330000000003,12.950968582055419
242,2026-01-31,7.573524,2025-04-01,7.511524,0.06200000000000028,0.8253984144895268
243,2026-01-31,7.200741,2025-04-01,7.191651,0.009089999999999598,0.12639656735288737
244,2026-01-31,10.341131,2025-04-01,11.171591,-0.8304599999999986,-7.433677083237282
245,2026-01-31,9.970044,2025-04-01,9.815776,0.15426800000000007,1.5716332565046318
246,2026-01-31,14.962618,2025-04-01,17.104024,-2.141405999999998,-12.519895902858872
247,2026-01-31,12.253167,2025-04-01,12.456008,-0.20284100000000116,-1.628459133937624
248,2026-01-31,10.049428,2025-04-01,10.584496,-0.535067999999999,-5.055205273826916
249,2026-01-31,8.847587,2025-04-01,8.970542,-0.12295499999999926,-1.3706529661195417
25,2026-01-31,6.803771,2025-04-01,7.212369,-0.4085979999999996,-5.665239812327955
250,2026-01-31,7.551699,2025-04-01,7.904023,-0.3523239999999994,-4.457527514785817
251,2026-01-31,12.448187,2025-04-01,12.328267,0.11992000000000047,0.9727239035299972
252,2026-01-31,11.385833,2025-04-01,12.01612,-0.6302870000000009,-5.245345419320055
253,2026-01-31,7.928468,2025-04-01,8.168411,-0.23994300000000113,-2.9374501356506313
254,2026-01-31,7.235671,2025-04-01,7.25477,-0.019098999999999755,-0.2632612749956202
255,2026-01-31,8.345001,2025-04-01,8.976706,-0.6317050000000002,-7.0371581736106785
256,2026-01-31,10.654029,2025-04-01,11.865737,-1.2117079999999998,-10.21182249362176
257,2026-01-31,8.206806,2025-04-01,7.959978,0.24682799999999983,3.1008628415807156
258,2026-01-31,9.835147,2025-04-01,9.955035,-0.11988800000000133,-1.2042951129755075
259,2026-01-31,7.915141,2025-04-01,7.711593,0.2035480000000005,2.639506519599783
26,2026-01-31,6.339711,2025-04-01,6.310185,0.029526000000000607,0.4679102118242272
260,2026-01-31,7.922521,2025-04-01,8.056398,-0.13387700000000002,-1.6617475948929044
261,2026-01-31,10.119194,2025-04-01,9.980215,0.13897900000000085,1.392545150580432
262,2026-01-31,9.880802,2025-04-01,9.452634,0.42816799999999944,4.529615766356758
263,2026-01-31,8.785502,2025-04-01,9.104556,-0.3190540000000013,-3.504333434820998
264,2026-01-31,9.242168,2025-04-01,9.554044,-0.3118759999999998,-3.2643349768956456
265,2026-01-31,12.179869,2025-04-01,12.37954,-0.19967100000000038,-1.6129113036510272
266,2026-01-31,7.539791,2025-04-01,7.671533,-0.13174200000000003,-1.7172838857631194
267,2026-01-31,8.510318,2025-04-01,8.405692,0.10462599999999966,1.2447041837840318
268,2026-01-31,8.168314,2025-04-01,7.977496,0.19081800000000015,2.3919535653794144
269,2026-01-31,13.542347,2025-04-01,13.437352,0.10499499999999884,0.781366745471867
27,2026-01-31,6.513328,2025-04-01,7.075821,-0.5624930000000008,-7.949508615325356
270,2026-01-31,8.088313,2025-04-01,8.287845,-0.19953200000000137,-2.407525719894633
272,2026-01-31,7.244238,2025-04-01,6.998128,0.24610999999999983,3.516797635024678
273,2026-01-31,10.584586,2025-04-01,9.728038,0.8565480000000001,8.804940934646844
274,2026-01-31,7.594156,2025-04-01,7.577419,0.016737000000000002,0.22087995925789508
275,2026-01-31,10.241501,2025-04-01,11.025585,-0.784084,-7.111495671204748
276,2026-01-31,8.39422,2025-04-01,8.513894,-0.11967399999999984,-1.405631782589727
277,2026-01-31,8.330264,2025-04-01,8.600336,-0.27007200000000076,-3.1402494042093325
278,2026-01-31,10.761013,2025-04-01,10.706796,0.054216999999999516,0.5063793127280982
279,2026-01-31,8.147323,2025-04-01,7.875296,0.27202700000000046,3.454181277757693
28,2026-01-31,7.142835,2025-04-01,7.391156,-0.2483209999999998,-3.359704490068939
280,2026-01-31,8.93492,2025-04-01,9.148342,-0.21342199999999956,-2.3329036015487787
281,2026-01-31,8.918032,2025-04-01,9.085639,-0.16760700000000028,-1.8447464179459503
281N,2026-01-31,13.954699,2025-04-26,14.173019,-0.2183200000000003,-1.5403916413292065
281R,2026-01-31,8.815445,2025-04-26,9.203684,-0.38823900000000044,-4.2182999764007585
282,2026-01-31,10.802446,2025-04-01,10.89056,-0.08811400000000091,-0.8090860341433399
283,2025-12-06,7.592858,2025-04-01,8.566291,-0.973433,-11.363529443489604
284,2026-01-31,8.868523,2025-04-01,8.981429,-0.11290600000000062,-1.2571050775995736
285,2026-01-31,10.344815,2025-04-01,10.70135,-0.35653499999999916,-3.331682451279504
286,2026-01-31,10.288921,2025-04-01,10.37805,-0.08912899999999979,-0.8588222257553182
287,2026-01-31,11.483046,2025-04-01,11.639793,-0.1567469999999993,-1.3466476594557937
288,2026-01-31,9.460068,2025-04-01,9.512379,-0.05231099999999955,-0.5499255233627629
289,2026-01-31,8.532518,2025-04-01,8.714139,-0.1816209999999998,-2.0842104997407067
29,2026-01-31,7.072659,2025-04-01,7.008379,0.06428000000000011,0.9171878404407083
290,2026-01-31,11.968836,2025-04-01,12.171859,-0.20302299999999995,-1.6679703568698911
291,2026-01-31,9.356211,2025-04-01,9.512421,-0.15620999999999974,-1.6421686971171665
292,2026-01-31,10.304098,2025-04-01,10.598914,-0.29481600000000086,-2.7815679983817287
293,2026-01-31,10.952441,2025-04-01,11.421707,-0.4692659999999993,-4.108545246345396
294,2026-01-31,10.092604,2025-04-01,10.307411,-0.21480700000000041,-2.0840053821468882
295,2026-01-31,7.074962,2025-04-01,7.444933,-0.3699709999999996,-4.969433573142963
296,2026-01-31,11.29356,2025-04-01,11.555413,-0.26185300000000034,-2.2660635323030025
297,2026-01-31,8.932703,2025-04-01,8.961442,-0.028738999999999848,-0.32069615581956396
298,2026-01-31,12.499844,2025-04-01,13.688493,-1.1886489999999998,-8.68356363260733
299,2026-01-31,9.798201,2025-04-01,10.699943,-0.9017419999999987,-8.427540221475935
3,2026-01-31,8.319235,2025-04-01,7.7365,0.5827350000000004,7.532282039682032
30,2026-01-31,6.521464,2025-04-01,6.857586,-0.3361220000000005,-4.901462409658449
300,2026-01-31,8.856162,2025-04-01,8.821227,0.03493499999999905,0.39603334093997405
301,2026-01-31,12.661031,2025-04-01,12.708008,-0.046977000000000046,-0.3696645453795752
302,2026-01-31,9.349798,2025-04-01,9.731208,-0.3814100000000007,-3.9194517268565288
303,2026-01-31,10.070102,2025-04-01,10.32218,-0.25207799999999914,-2.442100409022117
304,2026-01-31,8.297481,2025-04-01,8.757908,-0.46042700000000103,-5.2572714853821365
306,2026-01-31,7.297345,2025-04-01,7.436861,-0.13951600000000042,-1.8760065570675641
307,2026-01-31,10.506989,2025-04-01,10.952473,-0.44548399999999866,-4.067428424612403
308,2026-01-31,8.897315,2025-04-01,8.813771,0.08354400000000162,0.9478803113900012
309,2026-01-31,8.618012,2025-04-01,8.957134,-0.3391219999999997,-3.7860547804688385
31,2026-01-31,6.868277,2025-04-01,8.163869,-1.295592,-15.869828386516247
310,2026-01-31,8.627622,2025-04-01,8.767921,-0.14029899999999884,-1.6001398735230261
312,2026-01-31,9.543053,2025-04-01,10.075428,-0.532375,-5.283894639513081
313,2026-01-31,12.033981,2025-04-01,12.199678,-0.16569699999999976,-1.358207978931901
314,2026-01-31,11.651979,2025-04-01,12.260064,-0.6080849999999991,-4.95988438559537
315,2026-01-31,8.448354,2025-04-01,8.731987,-0.283633,-3.2482068514302647
316,2026-01-31,7.862196,2025-04-01,8.207371,-0.34517500000000023,-4.205670731833619
317,2026-01-31,10.74626,2025-04-01,10.862792,-0.11653200000000119,-1.072762877168238
318,2026-01-31,9.060163,2025-04-01,9.313975,-0.2538119999999999,-2.7250663653273706
319,2026-01-31,7.282264,2025-04-01,7.480244,-0.19798000000000027,-2.6467051074804546
32,2026-01-31,7.228688,2025-04-01,8.149384,-0.9206959999999995,-11.297737350454948
320,2026-01-31,12.182382,2025-04-01,13.171132,-0.9887499999999996,-7.506947770320725
321,2026-01-31,10.143058,2025-04-01,10.544354,-0.4012960000000003,-3.805790283596324
322,2026-01-31,7.927167,2025-04-01,8.072786,-0.14561900000000083,-1.803825841537244
323,2026-01-31,10.382183,2025-04-01,10.620622,-0.23843899999999962,-2.245056833771126
324,2026-01-31,10.396756,2025-04-01,10.820455,-0.42369900000000094,-3.915722582830398
325,2026-01-31,10.250036,2025-04-01,9.809434,0.44060200000000016,4.491614908668535
326,2026-01-31,10.755449,2025-04-01,11.788482,-1.0330329999999996,-8.763070597215144
